,start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
63,19.86485,0.08186,0.746,-33.429,0.03112,-25.568,0.0,"[0.756, 0.379, 0.322, 0.351, 0.282, 0.164, 0.477, 0.472, 0.524, 1.0, 0.732, 0.662]","[33.052, -54.049, -72.665, -59.632, 38.104, -25.561, -15.972, 5.625, 42.833, -8.608, 25.592, 35.962]"
64,19.94671,0.12762,0.495,-27.149,0.05102,-21.483,0.0,"[0.431, 0.314, 0.058, 0.029, 0.039, 0.037, 0.025, 0.03, 0.381, 1.0, 0.36, 0.105]","[35.513, -74.622, -49.962, -51.83, 23.542, -12.54, 5.96, -12.559, -0.937, 3.304, -6.468, 51.562]"
65,20.07433,0.30122,0.43,-26.157,0.02924,-20.567,0.0,"[0.608, 0.055, 0.093, 0.018, 0.026, 0.02, 0.02, 0.015, 0.111, 1.0, 0.388, 0.561]","[35.776, 12.621, -84.621, -2.75, 8.067, -19.946, -64.655, -19.269, 38.744, -9.665, -12.452, 10.208]"
66,20.37556,0.45016,0.996,-31.568,0.0786,-18.316,0.0,"[0.316, 0.144, 0.393, 0.126, 0.448, 1.0, 0.149, 0.395, 0.468, 0.344, 0.347, 0.125]","[35.341, -37.285, -52.452, 55.319, 38.889, 17.547, -46.963, 51.822, 21.276, -23.598, -29.951, -1.372]"
67,20.82571,0.15302,0.886,-37.075,0.11555,-24.748,0.0,"[0.778, 0.714, 0.174, 0.198, 0.259, 0.616, 0.816, 0.39, 0.445, 1.0, 0.539, 0.122]","[28.516, -38.637, -6.628, -142.731, 34.444, -27.298, -26.977, -24.081, 14.722, 20.677, 13.97, 0.468]"
68,20.97873,0.72073,0.421,-25.73,0.07014,-21.067,0.0,"[1.0, 0.127, 0.06, 0.023, 0.082, 0.556, 0.252, 0.079, 0.068, 0.303, 0.077, 0.535]","[35.426, -83.953, -12.007, -3.34, 71.873, -29.659, -43.026, -9.721, 7.551, -3.92, -6.379, 33.993]"
69,21.69946,0.20385,0.542,-29.97,0.15081,-24.08,0.0,"[0.233, 0.292, 0.971, 0.126, 0.388, 1.0, 0.33, 0.099, 0.091, 0.481, 0.044, 0.055]","[34.27, -106.168, -17.327, -48.821, 38.977, -35.107, 1.093, -3.352, 17.339, -3.645, 4.774, 27.82]"
70,21.90331,0.4702,1.0,-26.927,0.25083,-7.221,0.0,"[1.0, 0.162, 0.235, 0.065, 0.156, 0.95, 0.129, 0.068, 0.099, 0.289, 0.043, 0.041]","[45.754, -42.595, 67.048, 30.485, 78.111, 79.702, 27.676, 41.544, 16.222, -21.48, -16.439, 20.579]"
71,22.37351,0.28054,1.0,-25.706,0.04206,-10.525,0.0,"[0.307, 0.352, 0.948, 0.182, 0.32, 1.0, 0.431, 0.573, 0.08, 0.104, 0.082, 0.145]","[41.695, 0.73, -13.184, 153.885, 41.94, 54.768, 13.188, 11.07, 2.212, -13.326, -97.643, 45.322]"
72,22.65406,0.14045,0.951,-44.573,0.07528,-30.239,0.0,"[0.837, 0.594, 0.486, 0.29, 0.246, 0.305, 0.523, 0.496, 0.607, 1.0, 0.477, 0.448]","[27.038, 168.658, -23.378, -33.819, 30.391, -1.811, -26.643, -35.451, 25.477, -16.758, -26.481, 1.389]"
73,22.79451,0.35347,1.0,-37.056,0.05132,-14.47,0.0,"[0.084, 0.144, 0.457, 0.59, 1.0, 0.812, 0.147, 0.177, 0.12, 0.105, 0.047, 0.093]","[35.483, -12.42, -64.703, 85.188, 28.745, 93.868, -30.095, 22.617, 29.396, 2.783, -55.271, -9.996]"
74,23.14798,0.76263,1.0,-39.12,0.06536,-16.014,0.0,"[0.047, 0.103, 0.268, 0.284, 1.0, 0.11, 0.045, 0.1, 0.103, 0.028, 0.084, 0.381]","[41.506, -64.602, 90.052, 29.247, 75.586, -1.761, 49.822, -25.456, 11.91, -13.137, 22.338, 14.67]"
75,23.91061,0.33497,0.528,-20.216,0.07326,-14.579,0.0,"[0.095, 0.041, 0.055, 0.225, 0.131, 0.092, 0.015, 0.131, 0.217, 1.0, 0.383, 0.112]","[40.349, -119.898, 29.652, 36.421, 31.293, -26.266, 47.743, 32.822, -1.717, 4.051, -41.963, 11.466]"
76,24.24558,0.22376,0.911,-28.985,0.10127,-17.853,0.0,"[0.368, 0.582, 0.03, 0.025, 0.04, 0.018, 0.014, 0.113, 0.509, 1.0, 0.443, 0.072]","[36.663, -88.922, -1.117, 19.659, 37.713, 28.288, 13.08, 27.467, 17.833, 6.822, -52.151, 5.325]"
